Accession_no	 Seq_length	 NumberofN	 Coll_Date	 Pub_Date	 
FJ898446.1	10661	0	2001	2009	
GU131812.1	10519	0	2008	2009	
FJ744725.1	10678	0	2001	2009	
FJ810411.1	10678	0	2001	2009	
KX380802.1	10669	0	2012	2016	
EU482707.1	10690	0	2006	2008	
EU569690.1	10648	0	2001	2008	
FJ898430.1	10673	0	2006	2009	
EU081242.1	10735	0	2005	2007	
EU569698.1	10680	0	2007	2008	
GQ868639.1	10690	0	2006	2009	
DQ181798.1	10723	0	1999	2005	
GQ199881.1	10590	0	1996	2009	
FJ182005.1	10650	0	2004	2008	
HQ705621.1	10681	0	2009	2010	
HM582102.1	10713	0	1971	2010	
GU131904.1	10638	0	2005	2009	
JQ048541.1	10718	0	2011	2011	
FJ687435.1	10679	0	2001	2009	
FM210242.2	10690	0	2004	2008	
FJ478458.1	10680	0	1987	2008	
GQ868569.1	10675	0	2007	2009	
HQ541792.1	10477	0	2008	2010	
KM403622.1	10714	0	2013	2014	
EU920841.1	10665	0	2005	2008	
EU482698.1	10678	0	2007	2008	
KJ189265.1	10693	0	2004	2014	
GQ868509.1	10684	0	2007	2009	
JQ287666.1	10461	0	2009	2011	
KC294203.1	10723	0	2010	2012	
KC762629.1	10735	0	2008	2013	
AY206457.3	10735	0	na	2002	
GQ199897.1	10668	0	2002	2009	
EF032590.1	10735	0	na	2006	
GQ868575.1	10663	0	2004	2009	
EU854294.1	10636	0	2005	2008	
GQ868515.1	10671	0	2007	2009	
EU677154.1	10690	0	2007	2008	
KP406803.1	10734	0	2006	2015	
KM279521.1	10723	0	2011	2014	
FJ024435.1	10690	0	2007	2008	
GU131936.1	10660	0	2007	2009	
KC692499.1	10735	0	2009	2013	
FJ639803.1	10648	0	2005	2009	
FJ898448.1	10676	0	2001	2009	
KP188556.1	10526	0	2013	2014	
EU482611.1	10690	0	2007	2008	
KC294202.1	10723	0	2010	2012	
KM279513.1	10663	0	2011	2014	
FJ182019.1	10690	0	2007	2008	
EU687233.1	10653	0	2002	2008	
EU529693.1	10639	0	2004	2008	
AY618988.1	10653	0	na	2004	
GU131885.1	10677	0	2008	2009	
GQ199832.1	10690	0	2003	2009	
FJ547074.1	10648	0	2000	2008	
AB479041.1	10647	0	2002	2009	
KJ189299.1	10692	0	2005	2014	
FJ882541.1	10690	0	2006	2009	
FJ024443.1	10690	0	2007	2008	
JQ045652.1	10669	0	na	2011	
FJ639749.1	10647	0	2000	2009	
DI401646.1	10699	0	na	2014	
AY618992.1	10649	0	na	2004	
EU081217.1	10707	0	2005	2007	
GQ868613.1	10679	0	2006	2009	
U87411.1	10723	0	na	1997	
HQ012535.1	10173	0	1994	2010	
AY732479.1	10735	0	2001	2004	
FJ639785.1	10648	0	2003	2009	
DQ285559.1	10717	0	2004	2005	
FJ898442.1	10663	0	2007	2009	
FJ639767.1	10628	0	2001	2009	
KM279595.1	10723	0	2012	2014	
FJ882518.1	10684	0	2006	2009	
EU660405.1	10680	0	2007	2008	
GU131899.1	10646	0	2008	2009	
GQ199856.1	10690	0	2006	2009	
HQ671177.1	10681	0	2009	2010	
AF298808.1	10721	0	na	2000	
EU482670.1	10678	0	2006	2008	
EU482524.1	10690	0	2006	2008	
HQ332170.1	10707	0	2006	2010	
JF260983.1	10176	0	2009	2011	
EU660411.1	10663	0	2006	2008	
GQ868581.1	10592	0	2001	2009	
KM403607.1	10714	0	2013	2014	
FJ196846.1	10735	0	1995	2008	
KF921930.1	10283	0	2002	2013	
HQ332178.1	10735	0	2006	2010	
EU660419.1	10690	0	2007	2008	
EU482625.1	10680	0	2007	2008	
KF921950.1	10185	0	2008	2013	
JF920409.1	10680	0	2010	2011	
GQ199788.1	10690	0	2007	2009	
FJ850074.1	10678	0	2001	2009	
FJ882551.1	10690	0	2007	2009	
FJ182009.1	10648	0	2005	2008	
FJ196849.1	10649	0	1978	2008	
GU131721.1	10676	0	2008	2009	
FJ547073.1	10648	0	2000	2008	
KJ189319.1	10446	0	2007	2014	
JX669507.1	10707	0	2006	2012	
JF920401.1	10681	0	2010	2011	
KM403617.1	10714	0	2013	2014	
GQ868609.1	10690	0	2007	2009	
FJ850115.1	10678	0	2005	2009	
GU131729.1	10466	0	2008	2009	
