Accession_no	 Year	 root-tip dist	 Cluster_no	 NumberofNs	 
FJ205876.1	2007	0.00184	0	0	
FJ024427.1	2007	0.00184	0	0	
EU482483.1	2007	0.00165	0	0	
EU677171.1	2007	0.0022	0	0	
GQ199786.1	2007	0.00284	0	0	
EU482497.1	2007	0.00275	0	0	
EU677155.1	2007	0.00055	0	0	
EU677167.1	2007	0.00215	0	0	
EU677166.1	2007	0.00215	0	0	
JQ045644.1	2011	0.00411	0	0	
JQ045637.1	2011	0.00531	0	1	
JQ045638.1	2011	0.00531	0	0	
GU131803.1	2008	0.00242	0	0	
FJ024457.1	2007	0.00275	0	0	
FJ024462.1	2007	0.0033	0	0	
EU677170.1	2007	0.00385	0	0	
EU677177.1	2007	0.00385	0	0	
FJ205884.1	2007	0.0022	0	0	
FJ024437.1	2007	0.0022	0	0	
EU482498.1	2007	0.00275	0	0	
EU482708.1	2007	0.0033	0	0	
GU131783.1	2008	0.00528	0	0	
GU131695.1	2008	0.00516	0	0	
GU131685.1	2008	0.00497	0	0	
HM181969.1	2008	0.00562	0	0	
GU131787.1	2008	0.00562	0	0	
EU482504.1	2007	0.00557	0	0	
EU726780.1	2007	0.00557	0	0	
EU660397.1	2006	0.00605	0	0	
GU131797.1	2008	0.00982	0	0	
GU131808.1	2008	0.01056	0	0	
GU131770.1	2008	0.01111	0	0	
GU131807.1	2008	0.01207	0	0	
GU131755.1	2008	0.01221	0	0	
GU131795.1	2008	0.01221	0	0	
JF937614.1	2008	0.01114	0	0	
GU131793.1	2008	0.01114	0	0	
JF937606.1	2008	0.01168	0	0	
JQ287662.1	2007	0.01674	0	0	
HM181964.1	2008	0.01114	0	0	
FJ182022.1	2007	0.00715	0	0	
FJ024433.1	2007	0.00771	0	0	
FJ182027.1	2007	0.0088	0	0	
EU482494.1	2007	0.00935	0	0	
EU677163.1	2007	0.0099	0	0	
EU677165.1	2007	0.0099	0	0	
FJ024448.1	2007	0.0088	0	0	
FJ410289.1	2007	0.0088	0	0	
EU482501.1	2007	0.00844	0	0	
HM181960.1	2008	0.00947	0	0	
JQ045642.1	2011	0.01128	0	0	
JQ045643.1	2011	0.01128	0	0	
JQ045660.1	2011	0.01107	0	0	
JQ045659.1	2011	0.01107	0	0	
GU131750.1	2008	0.00983	0	0	
JQ045668.1	2011	0.01382	0	0	
JQ045667.1	2011	0.01382	0	0	
FJ461336.1	2008	0.01046	0	0	
EU660394.1	2006	0.00935	0	0	
EU482821.1	2006	0.00935	0	0	
FJ882544.1	2006	0.00954	0	0	
EU482520.1	2006	0.0088	0	0	
EU482539.1	2006	0.00935	0	0	
EU482801.1	2006	0.00935	0	0	
FJ882522.1	2006	0.00935	0	0	
FJ024430.1	2007	0.00944	0	0	
EU660419.1	2007	0.00999	0	0	
FJ205883.1	2007	0.00999	0	0	
FJ182025.1	2007	0.01054	0	0	
EU482485.1	2007	0.01109	0	0	
EU482508.1	2007	0.01109	0	0	
EU482711.1	2007	0.01109	0	0	
FJ182019.1	2007	0.01109	0	0	
FJ024445.1	2007	0.01054	0	0	
FJ373298.1	2007	0.00999	0	0	
EU726778.1	2007	0.00999	0	0	
EU677168.1	2007	0.0088	0	0	
EU482516.1	2007	0.00999	0	0	
FJ024447.1	2007	0.0099	0	0	
